trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
109,False,"{'a': 1.0, 'e': 0.8455347349164652}",20,5,-122.95676927310755,"{0: 9, 1: 3, 2: 0, 3: 0, 4: 3}",1
110,False,"{'a': 1.0, 'e': 0.8320183851339245}",20,0,-100.20270806036251,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
111,False,"{'a': 1.0, 'e': 0.8175744761936437}",25,0,-59.032602569225354,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
112,False,"{'a': 1.0, 'e': 0.8021838885585817}",25,2,-35.83042763883,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 0}",1
113,False,"{'a': 1.0, 'e': 0.7858349830425586}",35,8,-63.390395391878535,"{0: 21, 1: 1, 2: 3, 3: 1, 4: 1}",1
114,False,"{'a': 1.0, 'e': 0.7685247834990175}",20,9,-29.167185948620254,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 1}",1
115,False,"{'a': 1.0, 'e': 0.7502601055951175}",25,7,-129.42588425932774,"{0: 10, 1: 1, 2: 4, 3: 1, 4: 2}",1
116,False,"{'a': 1.0, 'e': 0.7310585786300048}",20,0,-143.50068840529624,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
117,False,"{'a': 1.0, 'e': 0.7109495026250039}",30,4,-100.01595214643463,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 2}",1
118,False,"{'a': 1.0, 'e': 0.6899744811276123}",20,8,-56.55894989678385,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 1}",1
119,False,"{'a': 1.0, 'e': 0.6681877721681663}",30,0,-53.88430385712281,"{0: 21, 1: 4, 2: 4, 3: 1, 4: 0}",0
120,False,"{'a': 1.0, 'e': 0.6456563062257956}",20,6,-43.05209552333324,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 1}",1
121,False,"{'a': 1.0, 'e': 0.6224593312018547}",25,0,-15.215727280542845,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
122,False,"{'a': 1.0, 'e': 0.5986876601124521}",25,0,-170.61294752484284,"{0: 18, 1: 1, 2: 1, 3: 1, 4: 4}",0
123,False,"{'a': 1.0, 'e': 0.574442516811659}",25,2,-71.83877203930699,"{0: 17, 1: 2, 2: 2, 3: 1, 4: 1}",1
124,False,"{'a': 1.0, 'e': 0.549833997312478}",25,8,-37.144039200515266,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 1}",1
125,False,"{'a': 1.0, 'e': 0.52497918747894}",30,0,-67.63390879471238,"{0: 23, 1: 0, 2: 6, 3: 0, 4: 1}",0
